Opening,Plot,Tree.Num,Year,Type,Value
264,1,1,1965,mxd,0.574
264,1,1,1966,mxd,0.523
264,1,1,1967,mxd,0.528
264,1,1,1968,mxd,0.484
264,1,1,1969,mxd,0.415
264,1,1,1970,mxd,0.442
264,1,1,1971,mxd,0.511
264,1,1,1972,mxd,0.47
264,1,1,1973,mxd,0.49
264,1,1,1974,mxd,0.492
264,1,1,1975,mxd,0.45
264,1,1,1976,mxd,0.435
264,1,1,1977,mxd,0.503
264,1,1,1978,mxd,0.509
264,1,1,1979,mxd,0.486
264,1,1,1980,mxd,0.494
264,1,1,1981,mxd,0.566
264,1,1,1982,mxd,0.563
264,1,1,1983,mxd,0.591
264,1,1,1984,mxd,0.571
264,1,1,1985,mxd,0.559
264,1,1,1986,mxd,0.633
264,1,1,1987,mxd,0.616
264,1,1,1988,mxd,0.685
264,1,1,1989,mxd,0.624
264,1,1,1990,mxd,0.596
264,1,1,1991,mxd,0.622
264,1,1,1992,mxd,0.649
264,1,1,1993,mxd,0.637
264,1,1,1994,mxd,0.656
264,1,1,1995,mxd,0.65
264,1,1,1996,mxd,0.664
264,1,1,1997,mxd,0.634
264,1,1,1998,mxd,0.669
264,1,1,1999,mxd,0.64
264,1,1,2000,mxd,0.624
264,1,1,2001,mxd,0.646
264,1,1,2002,mxd,0.684
264,1,1,2003,mxd,0.663
264,1,1,2004,mxd,0.681
264,1,1,2005,mxd,0.649
264,1,1,2006,mxd,0.636
264,1,1,2007,mxd,0.601
264,1,1,2008,mxd,0.634
264,1,1,2009,mxd,0.591
264,1,1,2010,mxd,0.671
264,1,1,2011,mxd,0.628
264,1,1,2012,mxd,0.676
264,1,1,2013,mxd,0.689
264,1,1,2014,mxd,0.671
264,1,1,2015,mxd,0.669
264,1,1,2016,mxd,0.69
264,1,1,2017,mxd,0.713
264,1,1,2018,mxd,0.683
264,1,1,1963,rw,13.404
264,1,1,1964,rw,2.378
264,1,1,1965,rw,2.565
264,1,1,1966,rw,2.123
264,1,1,1967,rw,2.191
264,1,1,1968,rw,1.58
264,1,1,1969,rw,1.106
264,1,1,1970,rw,1.56
264,1,1,1971,rw,1.654
264,1,1,1972,rw,1.261
264,1,1,1973,rw,1.585
264,1,1,1974,rw,1.326
264,1,1,1975,rw,1.146
264,1,1,1976,rw,1.189
264,1,1,1977,rw,1.761
264,1,1,1978,rw,2.283
264,1,1,1979,rw,1.967
264,1,1,1980,rw,1.849
264,1,1,1981,rw,1.748
264,1,1,1982,rw,1.778
264,1,1,1983,rw,2.099
264,1,1,1984,rw,1.899
264,1,1,1985,rw,1.816
264,1,1,1986,rw,1.997
264,1,1,1987,rw,1.533
264,1,1,1988,rw,1.615
264,1,1,1989,rw,1.694
264,1,1,1990,rw,1.283
264,1,1,1991,rw,0.929
264,1,1,1992,rw,1.216
264,1,1,1993,rw,1.314
264,1,1,1994,rw,2.522
